node,node2,regime
C23,,2_background
C17,,2_background
C12,,2_background
C10,,1_chosen
C3,,1_chosen
C14,,1_chosen
C5,,2_background
C9,,2_background
C24,,2_background
C6,,2_background
C21,,2_background
C19,,2_background
C1,,2_background
C22,,2_background
C4,,2_background
C13,,2_background
C18,,2_background
C15,,2_background
C11,,2_background
C16,,2_background
C8,,2_background
C20,,2_background
C7,,2_background
C23,C17,2_background
C23,C10,2_background
C23,C5,2_background
C17,C12,2_background
C10,C3,1_chosen
C3,C14,1_chosen
C5,C9,2_background
C9,C24,2_background
C9,C1,2_background
C24,C6,2_background
C6,C21,2_background
C21,C19,2_background
C1,C22,2_background
C1,C13,2_background
C22,C4,2_background
C13,C18,2_background
C18,C15,2_background
C18,C11,2_background
C11,C16,2_background
C16,C8,2_background
C8,C20,2_background
C20,C7,2_background
